Requirement_title,Requirement_type,Requirement_description,Requirement_priority,Requirement_tags,Requirement_uuid,Requirement_hash
(network)Session lifetime is limited,Implementation,Session lifetime is limited.,Could,Security,,
A test specification for the system must be available,Business Requirement,A test specification for the system must be available in order to perform test of the created system.,Could,"Documentation, NFR",,
Business Process Models must be based on  BPMN 2.0,Business Requirement,"BPMN 2.0 must be used
A standard Business Process Model and Notation (BPMN) will provide businesses with the capability of understanding their internal business procedures in a graphical notation and will give organizations the ability to communicate these procedures in a standard manner. Furthermore, the graphical notation will facilitate the understanding of the performance collaborations and business transactions between the organizations.
See: http://www.bpmn.org/",Could,standard,,
Clock Identity Authentication and Authorization,QoS(Quality-of-Service),"The security mechanism MUST support authentication.
Authentication refers to verifying the identity of the peer clock. Authorization, on the other hand, refers to verifying that the peer clock is permitted to play the role that it plays in the protocol.  For example, some nodes may be permitted to be masters,while other nodes are only permitted to be slaves or TCs. Authentication is typically implemented by means of a cryptographic signature, allowing the verification of the identity of the sender.  Authorization requires clocks to maintain a list of authorized clocks, or a ""black list"" of clocks that should be denied service or revoked.",Could,Security,,
Data logging:Sensitive data is not logged in clear text by the application.,Implementation,Sensitive data is not logged in clear text by the application.,Could,"NFR, Security",,
"Database connections, passwords, keys, or other secrets are not stored in plain text.",Business,"Database connections, passwords, keys, or other secrets are not stored in plain text.",Could,"NFR, Security",,
Digital Signature Standard (DSS) (FIPS PUB 186 &#8211; 4),QoS(Quality-of-Service),"Digital Signature Standard (DSS) - FIPS PUB 186-4
This Standard defines methods for digital signature generation that can be used for the protection of binary data (commonly called a message), and for the verification and validation of those digital signatures. Three techniques are approved.
(1) The Digital Signature Algorithm (DSA) is specified in this Standard. The specification includes criteria for the generation of domain parameters, for the generation of public and private key pairs, and for the generation and verification of digital signatures.
(2) The RSA digital signature algorithm is specified in American National Standard (ANS) X9.31 and Public Key Cryptography Standard (PKCS) #1. FIPS 186-4 approves the use of implementations of either or both of these standards and specifies additional requirements.
(3) The Elliptic Curve Digital Signature Algorithm (ECDSA) is specified in ANS X9.62. FIPS 186-4 approves the use of ECDSA and specifies additional requirements. Recommended elliptic curves for Federal Government use are provided herein.

See: http://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.186-4.pdf",Could,"Security, standard",,
Disaster Recovery,Business Requirement,"The solution will be configured to  be split across the two data centers where possible with failover from data center to data center in the event of a disaster,  In addition, each data center needs to be able to run in a self sufficient manner should it become isolated from the other.",Could,NFR,,
Documentation must be available in an open document format,System Requirement,"All system documentation must be made available in open document format. System documentation is (not exhausted) operational manuals, code documentation, test specs and test reports, installation manuals.",Could,"Documentation, NFR",,
Encryption keys must be secured,Business,Encryption keys must be secured.,Could,Security,,
FIPS PUB 198-1:The Keyed-Hash Message Authentication Code  (HMAC),Business,"FIPS PUB 198-1:The Keyed-Hash Message Authentication Code  (HMAC)
Providing a way to check the integrity of information transmitted over or stored in an unreliable medium is a prime necessity in the world of open computing and communications. Mechanisms that provide such integrity checks based on a secret key are usually called message authentication codes (MACs). Typically, message authentication codes are used between two parties that share a secret key in order to authenticate information transmitted between these parties. This Standard defines a MAC that uses a cryptographic hash function in conjunction with a secret key. This mechanism is called HMAC [HMAC]. HMAC shall use an Approved cryptographic hash function [FIPS180-3]. HMAC uses the secret key for the calculation and verification of the MACs.  

See:http://csrc.nist.gov/publications/fips/fips198-1/FIPS-198-1_final.pdf",Could,"Security, standard",,
High Availability,Business Requirement,"All components should be configured in a high availability configuration to eliminate single points of failure, and minimize solution outages.",Could,NFR,,
